"t","x","U","Y"
0,0,2.2632120990451,-0.0142945931989215
0.025,0,2.09039696701062,0.0453963267987986
0.05,0,1.65307989123315,0.0976077813371081
0.075,0,1.0122865488227,0.136720580219767
0.1,0,0.251384209206762,0.158949501241101
0.125,0,-0.536408761167877,0.162751501025131
0.15,0,-1.26196866702989,0.148839235914324
0.175,0,-1.85374401634086,0.119910162990591
0.2,0,-2.26862797120451,0.0800367866711294
0.225,0,-2.49821843404709,0.0338607521787427
0.25,0,-2.56902237752195,-0.0142840864636287
0.275,0,-2.53621397855546,-0.0611827439061416
0.3,0,-2.47188272137336,-0.105289963949573
0.325,0,-2.4500160657919,-0.146960441067102
0.35,0,-2.53132763788331,-0.188260076604812
0.375,0,-2.75117068988884,-0.23247370631972
0.4,0,-3.11308567959672,-0.283347524077073
0.425,0,-3.5891551088854,-0.344273911532209
0.45,0,-4.12667267253298,-0.417584559758452
0.475,0,-4.65914290866542,-0.504047653755461
0.5,0,-5.11871458687571,-0.602710764988916
0.525,0,-5.44702945915748,-0.711002202201298
0.55,0,-5.60216004560213,-0.825090403384404
0.575,0,-5.56052906934924,-0.940331667247732
0.6,0,-5.31418054246153,-1.05172218075643
0.625,0,-4.86500345102927,-1.15421757695804
0.65,0,-4.21829127076789,-1.24291509153869
0.675,0,-3.37810065224022,-1.31306509654437
0.7,0,-2.34625996324632,-1.36003697043774
0.725,0,-1.12573840942594,-1.3792895462757
0.75,0,0.272294878689128,-1.36648697917723
0.775,0,1.81965986958964,-1.31780091402554
0.8,0,3.46332679318037,-1.23043329477273
0.825,0,5.12137408377168,-1.10328675290497
0.85,0,6.68483294939876,-0.937644715695487
0.875,0,8.02621611373955,-0.737740917304317
0.9,0,9.01384027057767,-0.511016661552414
0.925,0,9.52959164343747,-0.267985667236159
0.95,0,9.48678075985545,-0.0216507604806433
0.975,0,8.8445844349685,0.213490637221466
1,0,7.61624630325476,0.422711277027263
0,0.025,3.06850778952648,-0.0133311486820394
0.025,0.025,3.02927127782712,0.0656557897543501
0.05,0.025,2.70634534772611,0.140093980386312
0.075,0.025,2.15008570259858,0.203729207549431
0.1,0.025,1.433717630407,0.25188124362288
0.125,0.025,0.642514500782223,0.281865332013396
0.15,0.025,-0.138473928435286,0.293124904728414
0.175,0.025,-0.836577807280614,0.287048126230241
0.2,0.025,-1.4017871811952,0.266521481855573
0.225,0.025,-1.81338668170069,0.23525749569247
0.25,0.025,-2.08157279780416,0.197037474813973
0.275,0.025,-2.24348257498812,0.154975524262625
